StaTerr,year,lower.turnover.caseworker,upper.turnover.caseworker,turnover.supervisor
HI,2010,NA,0.197278912,NA
HI,2011,NA,0.502923977,NA
HI,2012,NA,0.277227723,NA
HI,2013,NA,0.280373832,NA
HI,2014,NA,0.324786325,NA
HI,2015,NA,0.24742268,NA
IA,2004,0.024752475,0.089108911,0.166666667
IA,2005,0,0.071770335,0.195121951
IA,2006,0,0.097674419,0.224489796
IA,2007,0.090517241,0.189655172,0.37704918
IA,2008,0.060185185,0.134259259,0.183333333
IA,2009,0.121495327,0.130841121,0.276923077
IA,2010,0,0.075376884,0.163265306
IA,2011,0.210045662,0.251141553,0.338235294
IA,2012,0.055837563,0.101522843,0.115384615
IA,2013,0.071428571,0.112244898,0.2
IA,2015,0,0.057894737,0.161290323
ID,2004,0.094972067,0.167597765,0.245283019
ID,2005,0.089005236,0.193717277,0.204081633
ID,2006,0.203045685,0.269035533,0.196428571
ID,2007,0.223350254,0.263959391,0.166666667
ID,2008,0.14673913,0.222826087,0.098039216
ID,2009,0.132596685,0.193370166,0.189655172
ID,2010,0.18974359,0.215384615,0.196428571
ID,2011,0.158974359,0.2,0.16
ID,2012,0.07,0.18,0.183673469
ID,2013,0.216216216,0.297297297,0.155172414
ID,2014,0.141509434,0.174528302,0.133333333
ID,2015,0.186363636,0.263636364,0.090909091
IL,2004,0.068912711,0.134762634,0.270114943
IL,2005,0.11416185,0.134393064,0.178571429
IL,2010,0.039792388,0.067474048,0.048543689
IL,2011,0.086419753,0.121693122,0.157894737
IL,2012,0.073476703,0.120071685,0.122807018
IL,2013,0.008169935,0.102941176,0.233870968
IL,2014,0.159675237,0.207036536,0.183006536
IL,2015,0.078220859,0.127300613,0.176100629
IN,2004,0.105865522,0.150214592,0.142857143
IN,2005,0.115007013,0.187938289,0.209039548
IN,2006,0.025862069,0.136494253,0.180327869
IN,2007,0.051869723,0.15681544,0.160550459
IN,2008,0.122736419,0.19416499,0.142857143
IN,2009,0.173913043,0.197559115,0.126760563
IN,2010,0.182778229,0.216896832,0.195488722
IN,2011,0.364391144,0.420664207,0.284
IN,2013,0.07120743,0.18369453,0.216949153
IN,2014,0.14321608,0.224455611,0.293939394
IN,2015,0.155642023,0.230350195,0.211180124
KS,2007,0.076452599,0.149847095,0.245283019
KS,2008,NA,0.211428571,NA
KS,2010,0.096551724,0.131034483,0.045454545
KS,2011,0.132013201,0.158415842,0.255319149
KS,2012,0.279069767,0.315614618,0.219512195
KS,2013,0.193846154,0.24,0.125
KS,2014,0.078231293,0.12585034,0.276595745
KS,2015,0.136075949,0.164556962,0.195652174
KY,2004,0.120232172,0.163349917,0.186046512
KY,2005,0.126817447,0.180129241,0.117647059
KY,2006,0.169635941,0.221533695,0.235087719
KY,2007,0.12539185,0.188087774,0.187279152
KY,2008,0.17820324,0.216494845,0.267973856
KY,2009,0.164528302,0.193207547,0.143911439
KY,2010,0.148177496,0.187004754,0.168539326
KY,2012,0.117012448,0.165145228,0.193181818
KY,2013,0.168630339,0.204712813,0.19330855
KY,2015,0.63996139,0.656370656,0.72519084
LA,2005,NA,0.197297297,NA
LA,2006,NA,0.199052133,NA
LA,2007,NA,0.375291375,NA
LA,2008,NA,0.187989556,NA
LA,2009,NA,0.334916865,NA
LA,2010,NA,0.26010101,NA
LA,2011,NA,0.220207254,NA
LA,2012,NA,0.292237443,NA
LA,2013,NA,0.334123223,NA
LA,2014,NA,0.347087379,NA
LA,2015,NA,0.393518519,NA
MA,2004,0.088699878,0.266099635,0.206185567
MA,2005,0,0.173299101,0.162337662
MA,2006,0,0.173218673,0.209039548
MA,2007,0,0.164497041,0.196185286
MA,2008,0,0.189098999,0.18877551
MA,2009,0,0.171922686,0.208430913
MA,2010,0,0.074421965,0.1205074
MA,2011,0.032122905,0.096834264,0.117263844
MA,2012,0.101341971,0.149467839,0.148760331
MA,2013,0.172260612,0.195459033,0.326956522
