StaTerr,type,cases_median,cases_75thPct,cases_25thPct,cases_mean,cases_sd,tenure_median_yrs,tenure_75thPct,tenure_25thPct,tenure_mean,tenure_sd,caseload_median,caseload_75thPct,caseload_25thPct,caseload_mean,caseload_sd
AK,Caseworker,55,135,17,99.17664233576642,127.50784648644249,2.4273972602739726,4.726027397260274,1.1369863013698631,3.3369103089691032,2.8330485355299135,26.835152211372776,56.883116883116884,9.299363057324841,38.03746569243979,35.31388497685767
AL,Caseworker,35,99,13,102.6564177647633,211.66614212417463,2.1945205479452055,3.9534246575342467,0.9452054794520548,2.669259311257747,2.0242543593227382,25.6064209274673,54.18986438258387,8.866396761133602,37.715961649399105,42.320021497664044
AR,Caseworker,98,347,23,267.6661880832735,406.47835207080516,2.389041095890411,6.027397260273973,0.9561643835616438,3.7799644012626734,3.5734799933820525,54.145271011630456,116.58737864077669,17.838345864661655,75.83508891944896,70.81200865121131
AZ,Caseworker,73,200,20,151.33754266211605,208.55709167593906,2.1794520547945204,4.3342465753424655,1.2061643835616438,3.2972322221702743,2.9824063517579433,44.34306222676699,76.53801015965168,12.89915497733519,49.1745485636593,38.4658794741069
CA,Caseworker,101,338.25,22,245.55832747716093,338.9574184697434,4.578082191780822,8.378082191780821,1.9561643835616438,5.420501496933933,3.8642359235746158,31.776112000935868,73.64624017297439,8.342857142857143,45.285643304990074,43.24713158010558
CO,Caseworker,47,140.75,15,132.68288474810214,249.51260018216877,2.1561643835616437,4.882876712328767,0.9506849315068493,3.4374240146723767,3.3500815997168414,30.795825036722704,71.10534838935573,9.773214150747313,45.090802396999,43.12880951486992
CT,Caseworker,55,148.5,15,115.38802576733612,150.7852766163906,6,10.37945205479452,1.6123287671232878,6.127557657269514,4.4450061752003025,13.81081081081081,21.84600215817321,8.428385374711436,17.576458553871422,13.6421308334169
DC,Caseworker,90,195.5,22.25,148.68387096774194,179.62432046570544,2.1794520547945204,4.7089041095890405,0.7568493150684932,3.443473265576668,3.695480608712768,45.7429066529552,63.948302093476144,24.509691117859177,46.86450872128404,28.174333902656933
DE,Caseworker,31,78,16,54.17041800643087,56.21272866547451,1.9342465753424658,4.35068493150685,0.8863013698630138,2.92183411883892,2.795472953643739,19.282445923460898,24.831856629365156,13.947062368437896,21.039797910790334,15.6622662845456
FL,Caseworker,99,216,39,164.77053140096618,191.39167224581377,0.9726027397260274,1.9424657534246574,0.4465753424657534,1.5046595195552908,1.570984524038744,114.23664122137404,135.68620368307725,85.88235294117646,108.94950116359972,41.87159583626026
GA,Caseworker,55,133.25,19.75,100.70661953727506,121.57384711903659,1.4657534246575343,3.6595890410958907,0.708904109589041,2.333526428848118,2.0766418418368793,46.31771911663216,85.47613240418119,17.31314265683423,56.41166251028078,46.60417221647277
HI,Caseworker,25,70,11,60.144177449168204,96.86671593406015,1.6246575342465754,3.1506849315068495,0.8465753424657534,2.604957840629985,2.673273745575428,18.961038961038962,49.89873417721518,7.559171597633136,29.49142397637523,26.241912792436555
IA,Caseworker,302,792.25,222.75,526.9264705882352,452.1359196505616,2.3424657534246576,6.571917808219178,1.9664383561643834,4.163456889605157,3.3477200124798445,131.88723289449834,146.545145381451,114.84165661924283,128.27511961976137,31.377630801217244
ID,Caseworker,48,190.5,13,149.5542570951586,222.25765422277226,2.8383561643835615,6.142465753424657,1.226027397260274,4.037985683902394,3.5444416848011526,27.167250437828372,73.49823722931248,6.658390975903888,42.50509586123154,40.80902328409544
IL,Caseworker,142,374.25,92,318.87611940298507,390.69044407951804,1.1342465753424658,4.793150684931508,0.9828767123287672,3.379196483336741,3.9614685364561026,108.56050097968735,127.65774073370483,86.88322950587569,104.70673941536377,35.61189549204745
IN,Caseworker,99,231,30,171.3265114090802,225.214698507976,2.032876712328767,3.73972602739726,0.8986301369863013,2.6459766114661174,2.2777567457468137,56.42757660167131,133.2536149825784,23.533981476608957,80.13133108986113,68.55828281260438
KS,Caseworker,120,243,53,178.99263080324243,176.00824583104682,2.663013698630137,4.865753424657535,1.0657534246575342,3.461018968110558,3.0824959271821624,54.40566037735849,81.50485436893204,34.75199543899658,59.524438215089035,33.752821771028266
KY,Caseworker,46,146,16,114.43615653132464,157.21665479902242,1.9835616438356165,3.2643835616438355,0.8712328767123287,2.522416878282776,2.127405299637359,35.5368516833485,75.00196078431372,12.01721311579329,49.45039427327134,48.43206342178761
LA,Caseworker,102,231,35,181.6330063473745,227.02735664485087,1.4821917808219178,3.5726027397260274,0.7506849315068493,2.6854943126575974,2.8651178985620787,83.53233830845772,109.84326018808778,43.28063241106719,77.9418893189512,43.49763591564644
MA,Caseworker,26,96.25,12,151.33151549942593,316.3290335242065,4.260273972602739,6.552054794520547,1.926027397260274,4.848803139203875,3.5561558974149987,9.23679165718206,21.19659267781611,5.299461346808437,24.002467746215405,34.078367661199586
MD,Caseworker,75,143.25,22,101.64278752436647,120.12595608701456,2.43013698630137,3.6061643835616435,1.0678082191780822,2.426297097385778,1.4933992261501015,38.2571757452715,52.63244742544944,24.333333333333336,40.67670069434129,29.718627844160945
ME,Caseworker,57.5,174,16,125.98991354466858,159.47914377972435,3.1041095890410957,6.707534246575343,1.297945205479452,4.316777861118787,3.67131619699344,33.64667182662538,59.24804910002279,6.81533483653066,36.27286306383246,28.586474923208893
MI,Caseworker,100,191,38,146.26665591224392,158.3568866592176,1.4821917808219178,2.304109589041096,0.7178082191780822,1.7763629573484012,1.3414280787982196,81.11111111111111,101.41482967067668,54.75,79.0543192698741,38.43151138709644
