StaTerr,year,chpov,caseworkers,supervisors,caseworker_capacity,supervisor_capacity,screened_in_reports
CA,2005,1761755,4699,1399,2.6672267142707127,0.7940945250616573,228496
CA,2006,1693631,3660,1157,2.161037439678419,0.683147627789052,229254
CA,2007,1598466,4804,1590,3.0053814094262874,0.9947036721456697,234456
CA,2008,1702065,4768,1612,2.8013031229712144,0.9470848645615767,245824
CA,2009,1846994,4412,1620,2.3887462547252456,0.8771008460233223,233475
CA,2010,2012723,4455,1646,2.2134193329136695,0.8177975806904377,236407
CA,2011,2085226,4587,1645,2.1997615606174103,0.7888833152857293,233419
CA,2012,2164589,4398,1651,2.031794488468712,0.762731400741665,236660
CA,2013,2119056,4374,1648,2.064126667723741,0.7777047893024064,231105
CA,2014,2040811,4315,1669,2.114355518467903,0.817812134489671,236138
CA,2015,1901985,4403,1642,2.314949907596537,0.8633085960194218,144863
CO,2004,151264,812,268,5.368098159509203,1.7717368309710175,27864
CO,2005,163374,856,264,5.239511795022464,1.615924198464872,28170
CO,2006,170379,952,272,5.587543065753408,1.5964408759295452,30992
CO,2007,179666,943,285,5.248628009751428,1.5862767579842598,32823
CO,2008,171707,993,306,5.783107269942402,1.7821055635472054,33770
CO,2009,201208,881,278,4.3785535366387025,1.3816548049779331,33702
CO,2010,207165,798,255,3.852002027369488,1.2309029034827312,33353
CO,2011,215325,812,325,3.7710437710437708,1.509346336932544,30588
CO,2012,220133,752,336,3.416116620406754,1.5263499793306774,30170
CO,2013,204866,764,351,3.729266935460252,1.7133150449562153,29650
CO,2014,191679,822,431,4.288419701688761,2.248550962807611,28685
CO,2015,183216,835,462,4.557462230372893,2.521613832853026,18768
CT,2004,95407,1262,433,13.227540956114332,4.538451057050321,22145
CT,2005,93716,1252,414,13.359511716249092,4.417602117034444,23908
CT,2006,88087,1278,390,14.508383756967543,4.427441052595729,28315
CT,2007,87584,1277,376,14.580288637194007,4.293021556448667,25694
CT,2008,94346,1290,354,13.673075700082673,3.752146354906408,24131
CT,2009,95570,1252,331,13.100345296641207,3.4634299466359737,25350
CT,2010,103003,1261,314,12.242361872955156,3.0484548993718628,27657
CT,2011,115699,1267,301,10.950829307081305,2.601578233174012,29365
CT,2012,114613,1355,358,11.822393620269953,3.1235549195989982,21096
CT,2013,112225,1070,271,9.534417464914235,2.414791713076409,19346
CT,2014,113733,1154,306,10.146571355719097,2.6905119886048903,19133
CT,2015,110143,1112,283,10.09596615309189,2.569387069536875,10909
DC,2004,32493,99,21,3.046810082171545,0.646293047733358,5068
DC,2005,32459,93,25,2.8651529621984655,0.770202409193136,4967
DC,2006,31856,83,20,2.605474635861376,0.6278252134605726,4590
DC,2007,29069,88,19,3.027279920189893,0.6536172554955451,4535
DC,2008,28416,134,39,4.715653153153154,1.3724662162162162,5905
DC,2013,32071,128,42,3.991144647812666,1.3095943375635308,5724
DC,2014,32807,125,36,3.8101624653275215,1.0973267900143262,5582
DC,2015,32947,130,34,3.9457310225513704,1.031960421282666,3755
DE,2004,26124,69,27,2.6412494258153423,1.033532384014699,5578
DE,2005,27692,74,24,2.672251913910155,0.8666762964032934,5777
DE,2006,29622,76,28,2.565660657619337,0.9452434001755452,5691
DE,2007,29005,79,26,2.7236683330460263,0.8963971729012239,6068
DE,2008,29148,78,22,2.6759983532317824,0.7547687662961438,6098
DE,2009,33851,84,26,2.481462881451065,0.7680718442586629,6100
DE,2010,36018,93,34,2.5820423121772444,0.9439724582153368,6812
DE,2011,37941,99,31,2.6093144619277298,0.8170580638359558,7764
DE,2012,38462,100,26,2.5999688003743953,0.6759918880973429,7314
DE,2013,38254,92,28,2.4049772572802843,0.7319496000418256,6938
DE,2014,38543,80,24,2.0756038710012197,0.6226811613003658,6964
DE,2015,38446,84,27,2.1848826926078133,0.7022837226239401,4268
FL,2004,699280,2098,261,3.0002288067726806,0.3732410479350189,138283
FL,2005,719164,2080,261,2.892247109143394,0.36292139206078167,153066
FL,2006,695303,2155,270,3.0993681891204266,0.3883199123259931,153644
FL,2007,685647,1821,258,2.655885608775361,0.37628692315433454,161884
FL,2008,726383,1866,256,2.568892719130266,0.35243115546481674,166915
FL,2009,857326,1709,389,1.9934074086170257,0.4537363849924066,150232
FL,2010,929620,1775,264,1.9093823282631612,0.28398700544308425,156709
FL,2011,985615,1904,263,1.9317887816236563,0.26683847141125083,169984
FL,2012,1011096,1879,266,1.8583794219342178,0.2630808548347536,163052
FL,2013,982272,1840,277,1.8732082356007298,0.2819992832942403,163421
FL,2014,962857,1945,361,2.0200299732982154,0.37492587165072283,162069
FL,2015,944415,2045,382,2.165361625980104,0.4044831985938385,101381
GA,2009,575429,1051,344,1.826463386447329,0.5978148477049297,26655
GA,2010,613581,1048,390,1.708005951944405,0.6356129019640439,23603
GA,2011,651999,952,353,1.4601249388419308,0.5414118733310941,31940
GA,2012,672149,1109,361,1.649931785958173,0.537083295519297,55577
GA,2013,655194,1149,363,1.7536790629950825,0.5540343776041905,55727
GA,2014,646960,1670,525,2.5813033263262026,0.811487572647459,76019
GA,2015,610161,1609,503,2.637008920596367,0.8243725836295667,54537
HI,2004,32217,142,NA,4.4076108886612655,NA,3338
HI,2005,36870,146,NA,3.9598589639273123,NA,2562
HI,2006,34462,138,NA,4.004410655214439,NA,2166
HI,2007,30618,134,NA,4.376510549350055,NA,2572
HI,2008,30728,137,NA,4.458474355636553,NA,2554
HI,2009,39214,147,NA,3.7486611924312743,NA,3231
HI,2010,43595,171,NA,3.9224681729556146,NA,2107
HI,2011,50172,101,NA,2.013075021924579,NA,2261
HI,2012,51557,107,NA,2.0753728882595963,NA,2298
HI,2013,43574,117,NA,2.685087437462707,NA,2118
HI,2014,45637,97,NA,2.125468369962969,NA,2138
HI,2015,44299,92,NA,2.0767963159439264,NA,1311
IA,2004,87899,209,41,2.377728984402553,0.4664444419162903,24062
IA,2005,91700,215,49,2.3446019629225736,0.5343511450381679,25355
IA,2006,96323,232,61,2.4085628562233317,0.6332859234035484,24003
IA,2007,95200,216,60,2.26890756302521,0.6302521008403362,22507
IA,2008,99569,214,65,2.1492633249304505,0.6528136267312116,22451
IA,2009,109384,199,49,1.8192788707672054,0.447963139033131,25128
IA,2010,115731,219,68,1.8923192575887187,0.587569449844899,25606
IA,2011,121250,197,52,1.6247422680412371,0.42886597938144333,29967
IA,2012,114105,196,55,1.7177161386442312,0.4820121817624118,27317
IA,2013,114304,190,52,1.6622340425531914,0.45492721164613664,24397
IA,2014,110382,190,62,1.7212951387001505,0.5616857821021544,23130
IA,2015,106192,192,60,1.8080458038270302,0.565014313695947,16906
ID,2004,56562,191,49,3.376825430501043,0.866306000495032,6426
ID,2005,62934,197,56,3.13026345059904,0.8898210824037881,6626
ID,2006,61771,197,54,3.1891988149779023,0.8741966294863286,6755
ID,2007,63568,184,51,2.894538132393657,0.8022904606091115,7033
ID,2008,64361,181,58,2.8122620841814143,0.9011668557045415,6860
ID,2009,76630,195,56,2.5446952890512855,0.730784288137805,6981
ID,2010,83752,195,50,2.328302607698921,0.5970006686407489,6383
ID,2011,89007,200,49,2.247014279775748,0.5505184985450583,6693
ID,2012,89672,222,58,2.475689178338835,0.6468016772236596,6366
ID,2013,81389,212,60,2.604774600990306,0.7372003587708413,7689
ID,2014,80668,220,55,2.7272276491297665,0.6818069122824416,8207
ID,2015,75056,209,62,2.7845875079940314,0.8260498827542101,5787
IL,2004,539394,692,168,1.2829212041661568,0.31146063916172595,65532
IL,2005,524897,638,149,1.215476560163232,0.2838652154613191,67104
IL,2006,539870,644,155,1.1928797673513993,0.28710615518550764,66960
IL,2007,524318,645,119,1.2301694773019427,0.2269615004634592,68080
IL,2008,531774,617,125,1.160267331610797,0.23506226329230087,67652
IL,2009,586040,578,103,0.9862807999453961,0.17575592109753602,67673
IL,2010,599714,567,114,0.945450664816896,0.19009060985736534,65714
